design,name,slug,occupancies,variants,variant_axes
adrian,تخت دوطبقه آدرین,adrian-bunk-bed,bunk,2,bunk_configuration: full_bunk/lower_bed
baloot,آینه رومیزی بلوط,baloot-console-vanity-mirror,"baby,double,teen",0,-
baloot,آینه قدی بلوط,baloot-standing-mirror,"baby,double,teen",0,-
baloot,تخت بلوط,baloot-bed,"baby,double,teen",8,footboard: high/low · size: 100/120/160/180
baloot,تخت نوزاد دومنظوره بلوط (نوجوان),baloot-convertible-teen,"baby,double,teen",1,-
baloot,شلف دیواری بلوط,baloot-wall-shelf,"baby,double,teen",0,-
baloot,صفحه تعویض بلوط,baloot-changing-top,"baby,double,teen",0,-
baloot,صندلی میز آرایش بلوط,baloot-vanity-chair,"baby,double,teen",0,-
baloot,صندلی میز تحریر بلوط,baloot-study-chair,"baby,double,teen",0,-
baloot,لاوست بلوط,baloot-loveseat,"baby,double,teen",0,-
baloot,میز آرایش بلوط,baloot-vanity,"baby,double,teen",1,drawers: 4
baloot,میز تحریر بلوط,baloot-study-desk,"baby,double,teen",0,-
baloot,پاتختی بلوط,baloot-nightstand,"baby,double,teen",0,-
baloot,کتابخانه بلوط,baloot-bookcase,"baby,double,teen",0,-
baloot,کمد بلوط,baloot-wardrobe,"baby,double,teen",2,doors: 2/3
baloot,کنسول بلوط,baloot-console,"baby,double,teen",1,drawers: 3
bw,آینه دیواری بلک اند وایت,bw-wall-mirror,teen,1,shape: round
bw,آینه رومیزی بلک اند وایت,bw-console-vanity-mirror,teen,0,-
bw,آینه قدی بلک اند وایت,bw-standing-mirror,teen,0,-
bw,تخت بلک اند وایت,bw-bed,teen,2,size: 100/120
bw,شلف دیواری بلک اند وایت,bw-wall-shelf,teen,0,-
bw,صندلی میز آرایش بلک اند وایت,bw-vanity-chair,teen,0,-
bw,صندلی میز تحریر بلک اند وایت,bw-study-chair,teen,0,-
bw,میز آرایش بلک اند وایت,bw-vanity,teen,1,drawers: 3
bw,میز تحریر بلک اند وایت,bw-study-desk,teen,0,-
bw,پاتختی بلک اند وایت,bw-nightstand,teen,0,-
bw,کتابخانه بلک اند وایت,bw-bookcase,teen,0,-
bw,کمد بلک اند وایت,bw-wardrobe,teen,4,door_material: mdf/glass · doors: 1/2
caroline,آینه رومیزی کارولین,caroline-console-vanity-mirror,double,0,-
caroline,آینه قدی کارولین,caroline-standing-mirror,double,0,-
caroline,باکس تخت کارولین,caroline-bed-box,"baby,double,teen",0,-
caroline,تخت نوزاد دومنظوره کارولین (نوجوان),caroline-convertible-teen,"baby,double,teen",1,-
caroline,تخت نوزاد دومنظوره کارولین (کاناپه‌ای),caroline-convertible-sofa,"baby,double,teen",1,-
caroline,تخت کارولین,caroline-bed,"baby,double,teen",6,size: 90/100/120/140/160/180
caroline,شلف دیواری کارولین,caroline-wall-shelf,"baby,double,teen",0,-
caroline,صفحه تعویض کارولین,caroline-changing-top,baby,0,-
caroline,صندلی میز آرایش کارولین,caroline-vanity-chair,double,0,-
caroline,صندلی میز تحریر کارولین,caroline-study-chair,teen,0,-
caroline,فایل کارولین,caroline-file,"baby,double,teen",1,drawers: 5
caroline,میز آرایش کارولین,caroline-vanity,double,2,drawers: 3/6
caroline,میز تحریر کارولین,caroline-study-desk,teen,0,-
caroline,پاتختی کارولین,caroline-nightstand,"baby,double,teen",0,-
caroline,کتابخانه کارولین,caroline-bookcase,teen,0,-
caroline,کمد کارولین,caroline-wardrobe,"baby,double,teen",2,doors: 2/3
catherine,آینه دیواری کاترین,catherine-wall-mirror,"baby,double,teen",2,shape: oval/round
catherine,آینه رومیزی کاترین,catherine-console-vanity-mirror,"baby,double,teen",2,pieces: 1/3
catherine,آینه قدی کاترین,catherine-standing-mirror,"baby,double,teen",0,-
catherine,تخت نوزاد دومنظوره کاترین (نوجوان),catherine-convertible-teen,"baby,double,teen",1,-
catherine,تخت کاترین,catherine-bed,"baby,double,teen",6,headboard_style: new/prime · size: 120/160/180
catherine,شلف دیواری کاترین,catherine-wall-shelf,"baby,double,teen",0,-
catherine,صندلی میز تحریر کاترین,catherine-study-chair,"baby,double,teen",0,-
catherine,میز آرایش کاترین,catherine-vanity,"baby,double,teen",1,drawers: 4
catherine,میز تحریر کاترین,catherine-study-desk,"baby,double,teen",0,-
catherine,میز تعویض کاترین,catherine-changing-table,"baby,double,teen",0,-
catherine,پاتختی کاترین,catherine-nightstand,"baby,double,teen",0,-
catherine,کتابخانه کاترین,catherine-bookcase,"baby,double,teen",0,-
catherine,کمد کاترین,catherine-wardrobe,"baby,double,teen",2,doors: 2/3
catherine,کنسول کاترین,catherine-console,"baby,double,teen",2,drawers: 1/5
celine,آینه رومیزی سلین,celine-console-vanity-mirror,double,1,pieces: 3
celine,آینه قدی سلین,celine-standing-mirror,double,0,-
celine,تخت سلین,celine-bed,double,2,size: 160/180
celine,صندلی میز آرایش سلین,celine-vanity-chair,double,0,-
celine,فایل سلین,celine-file,double,1,drawers: 5
celine,میز آرایش سلین,celine-vanity,double,1,drawers: 5
celine,پاتختی سلین,celine-nightstand,double,0,-
classic,آینه رومیزی کلاسیک,classic-console-vanity-mirror,"double,teen",0,-
classic,آینه قدی کلاسیک,classic-standing-mirror,"double,teen",0,-
classic,تخت کلاسیک,classic-bed,"double,teen",3,size: 90/120/160
classic,شلف دیواری کلاسیک,classic-wall-shelf,"double,teen",0,-
classic,میز آرایش کلاسیک,classic-vanity,"double,teen",1,drawers: 4
classic,میز تحریر کلاسیک,classic-study-desk,"double,teen",0,-
classic,پاتختی کلاسیک,classic-nightstand,"double,teen",0,-
classic,کتابخانه کلاسیک,classic-bookcase,"double,teen",0,-
classic,کمد کلاسیک,classic-wardrobe,"double,teen",2,doors: 2/3
elegance,آینه دیواری الگانس,elegance-wall-mirror,teen,1,shape: round
elegance,آینه رومیزی الگانس,elegance-console-vanity-mirror,teen,0,-
elegance,آینه قدی الگانس,elegance-standing-mirror,teen,0,-
elegance,تخت الگانس,elegance-bed,teen,2,size: 100/120
elegance,صندلی میز تحریر الگانس,elegance-study-chair,teen,0,-
elegance,میز آرایش الگانس,elegance-vanity,teen,1,drawers: 4
elegance,میز تحریر الگانس,elegance-study-desk,teen,0,-
elegance,پاتختی الگانس,elegance-nightstand,teen,0,-
elegance,کتابخانه الگانس,elegance-bookcase,teen,0,-
elegance,کمد الگانس,elegance-wardrobe,teen,2,doors: 2/3
elegance,کنسول الگانس,elegance-console,teen,1,drawers: 2
eliza,آینه رومیزی الیزا,eliza-console-vanity-mirror,"double,teen",0,-
eliza,آینه قدی الیزا,eliza-standing-mirror,"double,teen",0,-
eliza,تخت الیزا,eliza-bed,"double,teen",3,size: 90/120/160
eliza,شلف دیواری الیزا,eliza-wall-shelf,"double,teen",0,-
eliza,میز آرایش الیزا,eliza-vanity,"double,teen",1,drawers: 3
eliza,میز تحریر الیزا,eliza-study-desk,"double,teen",0,-
eliza,پاتختی الیزا,eliza-nightstand,"double,teen",0,-
eliza,کتابخانه الیزا,eliza-bookcase,"double,teen",0,-
eliza,کمد الیزا,eliza-wardrobe,"double,teen",2,doors: 2/3
elizabeth,آینه رومیزی الیزابت,elizabeth-console-vanity-mirror,"baby,double,teen",0,-
elizabeth,آینه قدی الیزابت,elizabeth-standing-mirror,"baby,double,teen",2,finish: cream/gray
elizabeth,تخت الیزابت,elizabeth-bed,"baby,double,teen",7,finish: cream/gray · size: 100/120/160/180
elizabeth,تخت نوزاد دومنظوره الیزابت (نوجوان),elizabeth-convertible-teen,"baby,double,teen",2,finish: cream/gray
elizabeth,شلف دیواری الیزابت,elizabeth-wall-shelf,"baby,double,teen",2,finish: cream/gray
elizabeth,صندلی میز آرایش الیزابت,elizabeth-vanity-chair,"baby,double,teen",0,-
elizabeth,صندلی میز تحریر الیزابت,elizabeth-study-chair,"baby,double,teen",0,-
elizabeth,فایل الیزابت,elizabeth-file,"baby,double,teen",2,drawers: 5 · finish: cream/gray
elizabeth,لاوست الیزابت,elizabeth-loveseat,"baby,double,teen",2,fabric: cream/gray
elizabeth,میز آرایش الیزابت,elizabeth-vanity,"baby,double,teen",2,drawers: 4 · finish: cream/gray
elizabeth,میز تحریر الیزابت,elizabeth-study-desk,"baby,double,teen",2,finish: cream/gray
elizabeth,پاتختی الیزابت,elizabeth-nightstand,"baby,double,teen",2,finish: cream/gray
elizabeth,کتابخانه الیزابت,elizabeth-bookcase,"baby,double,teen",2,finish: cream/gray
elizabeth,کمد الیزابت,elizabeth-wardrobe,"baby,double,teen",4,doors: 2/3 · finish: cream/gray
elizabeth,کنسول الیزابت,elizabeth-console,"baby,double,teen",1,drawers: 2
gandom,تخت نوزاد گندم,gandom-baby-bed,baby,0,-
gandom,شلف دیواری گندم,gandom-wall-shelf,baby,0,-
gandom,فایل گندم,gandom-file,baby,2,drawers: 3/6
gandom,ویترین گندم,gandom-display-cabinet,baby,0,-
gandom,کمد گندم,gandom-wardrobe,baby,1,doors: 2
